product_id,product_name,category,brand,price,cost
1,iPhone 14,Electronics,Apple,999.99,600.00
2,Samsung Galaxy S23,Electronics,Samsung,899.99,540.00
3,Nike Air Max,Footwear,Nike,129.99,65.00
4,Levi's Jeans,Clothing,Levis,79.99,32.00
5,Coffee Maker,Home,Cuisinart,149.99,75.00
6,MacBook Pro,Electronics,Apple,1999.99,1200.00
7,Adidas Sneakers,Footwear,Adidas,119.99,60.00
8,Calvin Klein Shirt,Clothing,Calvin Klein,59.99,24.00
9,Dyson Vacuum,Home,Dyson,399.99,200.00
10,AirPods Pro,Electronics,Apple,249.99,150.00